"ISO Country Code", "Region Name", "ISO_3166-2 Region Code", "Bytes3 Result"
BJ,Collines,BJ-CO,434f00
BJ,Couffo,BJ-KO,4b4f00
BJ,Donga,BJ-DO,444f00
BJ,Littoral,BJ-LI,4c4900
BJ,Mono,BJ-MO,4d4f00
BJ,Oueme,BJ-OU,4f5500
BJ,Plateau,BJ-PL,504c00
BJ,Zou,BJ-ZO,5a4f00
BN,Belait,BN-BE,424500
BN,Brunei-Muara,BN-BM,424d00
BN,Temburong,BN-TE,544500
BN,Tutong,BN-TU,545500
BO,Chuquisaca,BO-H,480000
BO,Cochabamba,BO-C,430000
BO,El Beni,BO-B,420000
BO,La Paz,BO-L,4c0000
BO,Oruro,BO-O,4f0000
BO,Pando,BO-N,4e0000
BO,Potosi,BO-P,500000
BO,Santa Cruz,BO-S,530000
BO,Tarija,BO-T,540000
BQ,Bonaire,BQ-BO,424f00
BQ,Saba,BQ-SA,534100
BQ,Sint Eustatius,BQ-SE,534500
BR,Acre,BR-AC,414300
BR,Alagoas,BR-AL,414c00
BR,Amapa,BR-AP,415000
BR,Amazonas,BR-AM,414d00
BR,Bahia,BR-BA,424100
BR,Ceara,BR-CE,434500
BR,Distrito Federal,BR-DF,444600
BR,Espirito Santo,BR-ES,455300
BR,Goias,BR-GO,474f00
BR,Maranhao,BR-MA,4d4100
BR,Mato Grosso,BR-MT,4d5400
BR,Mato Grosso do Sul,BR-MS,4d5300
BR,Minas Gerais,BR-MG,4d4700
BR,Para,BR-PA,504100
BR,Paraiba,BR-PB,504200
BR,Parana,BR-PR,505200
BR,Pernambuco,BR-PE,504500
BR,Piaui,BR-PI,504900
BR,Rio de Janeiro,BR-RJ,524a00
BR,Rio Grande do Norte,BR-RN,524e00
BR,Rio Grande do Sul,BR-RS,525300
BR,Rondonia,BR-RO,524f00
BR,Roraima,BR-RR,525200
BR,Santa Catarina,BR-SC,534300
BR,Sao Paulo,BR-SP,535000
BR,Sergipe,BR-SE,534500
BR,Tocantins,BR-TO,544f00
BS,Central Andros,BS-CS,435300
BS,City of Freeport,BS-FP,465000
BS,East Grand Bahama,BS-EG,454700
BS,Harbour Island,BS-HI,484900
BS,Hope Town,BS-HT,485400
BS,Long Island,BS-LI,4c4900
BS,South Eleuthera,BS-SE,534500
BT,Chhukha,BT-12,313200
BT,Dagana,BT-22,323200
BT,Gasa,BT-GA,474100
BT,Haa,BT-13,313300
BT,Monggar,BT-42,343200
BT,Paro,BT-11,313100
BT,Punakha,BT-23,323300
BT,Thimphu,BT-15,313500
BT,Trashi Yangtse,BT-TY,545900
BT,Trongsa,BT-32,333200
BT,Zhemgang,BT-34,333400
BW,Central,BW-CE,434500
BW,Ghanzi,BW-GH,474800
BW,Kgalagadi,BW-KG,4b4700
BW,Kgatleng,BW-KL,4b4c00
BW,Kweneng,BW-KW,4b5700
BW,North East,BW-NE,4e4500
BW,North West,BW-NW,4e5700
BW,South East,BW-SE,534500
BW,Southern,BW-SO,534f00
BY,Brestskaya voblasts',BY-BR,425200
BY,Homyel'skaya voblasts',BY-HO,484f00
BY,Hrodzenskaya voblasts',BY-HR,485200
BY,Mahilyowskaya voblasts',BY-MA,4d4100
BY,Minskaya voblasts',BY-MI,4d4900
BY,Vitsyebskaya voblasts',BY-VI,564900
BZ,Belize,BZ-BZ,425a00
BZ,Cayo,BZ-CY,435900
BZ,Corozal,BZ-CZL,435a4c
BZ,Orange Walk,BZ-OW,4f5700
BZ,Stann Creek,BZ-SC,534300
BZ,Toledo,BZ-TOL,544f4c
CA,Alberta,CA-AB,414200
CA,British Columbia,CA-BC,424300
CA,Manitoba,CA-MB,4d4200
